,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,LOTB.BR,Brussels,0.415608,0.397412,47.12265,48.16324,0.3909664986456923,59.55605526605981,18.830211381224537,7.035596787706643,1.4436773264379141,1.8823529411764703
1,COBH.BR,Brussels,0.455349,0.482051,23.875,30.875,,,,1.93691389599318,0.0,
2,COMB.BR,Brussels,0.493434,0.511665,-0.59499,52.88529,-2.6720908615084573,16.100499136110578,-140.63862493012857,1.0328573451806968,0.5717909924537353,2.6
3,MOP.BR,Brussels,0.0,0.0,2.56543,3.31325,7.005092118189375,60.04559139784946,23.209642560266,0.5054891737272793,0.0,
4,SOF.BR,Brussels,0.993881,1.0,-6.2562,18.50561,0.3083791352043678,120.31387750158952,5.7978171414231605,1.0840433426701774,0.020831523937461866,1.2288135593220337
5,FLOB.BR,Brussels,0.497677,0.42704,2.19298,5.39232,2.3008703223145277,73.11755170682733,12.846950752675527,1.814729167704959,2.3644598929844713,
6,ARGX.BR,Brussels,0.0,0.0,-4.72989,-1.87084,12.168786407623347,-186.40212198295117,-22.404555072433325,5.938630409526037,0.03784619537995767,
7,SPA.BR,Brussels,0.397859,0.368423,2.58313,2.9412,4.13241857337297,20.18694783340345,12.154289423274811,3.588931645986193,1.5291016563819422,1.0810810810810811
8,MOUR.BR,Brussels,0.174357,0.16374,11.36087,8.96866,0.5910975522245911,-93.06603773584905,5.314784884168398,1.2626161047319535,2.1135351052389,3.571428571428571
9,RES.BR,Brussels,0.130533,0.096898,5.44696,4.32794,1.8438425323322283,17.12537320631858,7.910475394769822,1.8726113843435608,2.8242935647993037,2.120141342756184
10,COFB.BR,Brussels,0.692117,0.58439,2.2523,1.6347,6.916842295079789,20.39887915769025,10.987521962082415,1.304562763257339,0.09491960412061805,4.538087520259318
11,VGP.BR,Brussels,0.824342,0.961364,10.18815,7.02689,0.7713686566825843,-48.852631688875896,5.210787755920422,2.2602748317332084,0.027119993540546866,5.107438016528926
12,HOMI.BR,Brussels,0.856483,0.982188,0.38359,7.11512,0.5259303716944858,63.89145468121575,3.742055814395438,1.2282725174082647,0.078451926069601,4.235807860262009
13,ACKB.BR,Brussels,0.483643,0.489886,1.69909,5.47794,1.0663758356624693,11.343999070583346,5.858806638808931,1.0563986808709667,0.5119758346188392,
14,TERB.BR,Brussels,0.369675,0.381324,-5.59961,-0.23721,961.6702040429096,10.483538013823209,-228.12068073878626,1.5649875644854736,3.371179111103803,4.008016032064128
15,MONT.BR,Brussels,1.038535,1.016296,3.03389,3.77095,2.1531980326260043,46.10930621253244,8.111392306239376,2.1830068865019197,0.10052915118787739,2.5971370143149284
16,MIKO.BR,Brussels,0.486491,0.491011,1.72222,1.17701,7.593125703343469,7.938093963324857,8.980919209510109,1.2338090581896104,1.9429438170563649,
17,SOLV.BR,Brussels,1.004902,0.891892,-19.22804,1.5,-21.861528770791015,-1996.4278020000002,-32.72832462295082,0.7590980235741446,-0.017241379310344827,9.453961456102784
18,UCB.BR,Brussels,0.738113,0.741313,1.91978,2.02912,6.063655185537768,28.542585534891487,12.186036162081255,2.410405855829691,0.7478247711280926,1.37137801371378
19,ELI.BR,Brussels,0.515203,0.533729,1.89922,2.00795,5.446340252461578,17.128172690763055,11.006232258064516,1.4805427855885342,0.3103004005340454,1.9314285714285715
20,AED.BR,Brussels,0.969206,0.970047,4.18923,2.81182,2.64855335591451,49.24750881953868,7.319271610207943,1.305181975424957,0.0971110121585154,6.7816091954023
21,TUB.BR,Brussels,0.99787,0.996192,2.91295,3.06043,2.2477048216403936,-2362.6386867305064,6.894511341226816,1.2653486178407902,0.18295591562841956,0.7989690721649486
22,BREB.BR,Brussels,0.0,0.0,6.48204,9.13443,0.3769993384506251,85.45096424970919,3.4436758621767325,0.9030887434587157,0.2406430915594233,1.3563829787234043
23,GBLB.BR,Brussels,0.73318,0.720024,2.4736,0.08938,145.47108298416964,12.828978367713004,13.566429472125838,0.6814584207664242,0.3063572267515353,4.175503711558855
24,SOLB.BR,Brussels,0.228303,0.276517,-14.94073,2.41735,-1.9344153112504885,13.415528033619209,-4.691813343491302,1.0386789964940237,0.6012238362118266,4.942013705851345
25,LEAS.BR,Brussels,0.809314,0.838189,-5.17747,4.15007,2.725416216288962,12.800518358531319,11.310681474805843,0.9959809541592755,0.09956729891569811,7.291666666666667
26,ENGB.BR,Brussels,0.110605,0.071038,-2.76395,-24.72848,0.08346553027997201,-1.8704782069820285,-2.063814245014245,0.5939252918798373,3.1695916123103807,
27,MELE.BR,Brussels,0.386583,0.40556,0.23939,0.51,90.30144107634015,79.75862383266156,46.26017382315217,8.593928857207862,1.1037828730425145,3.716940671908506
28,IMMO.BR,Brussels,0.199249,0.266125,2.43302,5.2212,0.679304293414579,-25.4012453909447,3.4748912257047064,1.215967832235588,0.6390732135217041,4.1433021806853585
29,CFEB.BR,Brussels,0.395513,0.416551,0.33301,3.58246,1.5265352185777044,6.6405803614955685,5.4687446039727,0.8208468173757338,1.2888021767731133,
30,ATEB.BR,Brussels,0.680568,0.662557,3.53376,5.67724,0.6355144816750018,-29.780883902253482,3.6025483781918566,1.2158459179435022,0.22032321858654913,3.927659574468085
31,PIC.BR,Brussels,0.247094,0.219545,2.0678,1.19774,6.821095201256318,22.134811529933483,8.169899337097963,1.2448933782267115,1.3334971266458135,0.3546099290780142
32,RET.BR,Brussels,0.79767,0.821756,2.98607,1.74167,3.186922900478367,22.25586813486517,5.7989250119916855,0.8170738447559222,0.12651585089315323,8.148148148148149
33,COLR.BR,Brussels,0.269072,0.266281,1.73182,1.40892,6.3448344090038455,23.81747706601626,9.00291849760295,3.1088692579166315,4.165731937081015,2.5214792678371314
34,DIE.BR,Brussels,0.12682,0.129628,0.38219,-0.7765,-67.78862823850264,-44.05531559504132,52.570938727810656,1.0338013317430768,1.9432326861118239,2.0222446916076846
35,XIOR.BR,Brussels,0.858649,0.801139,-0.47053,-0.15633,1031.9654810626,-40.044953062626085,-159.96695327503429,1.5833769316413244,0.05184184042594231,2.628748707342296
36,ABI.BR,Brussels,0.560563,0.584386,-0.7855,-1.13015,119.52281822224019,6.6723080177702565,-134.4034090909091,1.5752934321152086,0.2120444625811717,6.975269499048826
37,IMMOU.BR,Brussels,0.802498,0.78879,1.1339,1.05817,10.086458686585212,26.73611970074813,10.673154803384769,0.9353268484187568,0.17575587316079644,4.5905172413793105
38,GIMB.BR,Brussels,2.236645,0.953405,-7.99427,2.01996,-14.444839446198344,72.045988651244,-29.254374477781997,1.0456841556523346,0.26444857152452894,5.4945054945054945
39,KBC.BR,Brussels,1.0,1.0,0.50721,-0.01202,-1016.3065616797901,-28.120845921450154,12.215223097112862,0.9211281543790203,0.030962103167101466,7.82122905027933
40,SIP.BR,Brussels,0.176209,0.16036,-0.06833,-0.26839,492.7812073332998,25.474846114664103,-132.4257299205649,0.7192795236710313,0.5319659222596241,
41,ASC.BR,Brussels,1.243917,0.660491,-0.48257,0.81186,14.162831197736756,15.814468614413698,11.498192244663853,0.8205406777530244,0.08984857892411047,8.225616921269095
42,WEHB.BR,Brussels,0.775115,0.83439,-2.35131,1.0053,11.58773521207559,7.926098195053109,11.651580709736123,0.477171467539146,0.13460130229461814,12.682926829268293
43,WEB.BR,Brussels,0.70231,0.980409,-0.19429,2.16102,3.749167291621579,8.300875745353542,8.10200884446824,0.8307051919271261,0.13034622413435096,8.75
44,SHUR.BR,Brussels,0.620645,0.662766,1.57,1.18707,6.8407592015275025,66.30144538250167,8.128678433239347,1.7021601357723972,0.16275312756968763,2.6470588235294117
45,AGS.BR,Brussels,0.0,0.0,4.18727,1.94804,1.6278831929020332,7.981634822983168,3.216022824002619,0.6015377832210655,0.16805777453524562,0.7417582417582418
46,BEFB.BR,Brussels,0.579049,0.461594,0.91426,0.379,20.48744978266426,18.551471114973364,7.7648383148306275,0.6119725398575269,0.09839107000533444,9.50413223140496
47,UMI.BR,Brussels,0.050545,0.056122,0.37585,0.57688,26.660272544982345,-140.32652741514357,15.376578393425604,3.152142515429141,4.457323543344387,1.838235294117647
48,TNET.BR,Brussels,0.428941,0.434763,0.29256,1.40264,7.107467895658274,14.2673479277865,9.992634007696537,-2.4054259591080527,0.44672681566169636,5.623875224955008
49,TEXF.BR,Brussels,0.960307,0.880844,0.87553,1.86698,3.299406308317783,20.67500950369588,6.057618934667148,1.198532933398629,0.32206375838926177,7.010276073619633
50,SAB.BR,Brussels,0.397714,0.511243,2.0154,0.57,11.377628608531408,-11.033960634547592,6.609696788385394,0.8016049770037669,1.1055343629320917,
51,TESB.BR,Brussels,0.287914,0.247463,1.99513,1.16112,5.212314376091619,25.867751169590644,6.051142886456908,1.4772521818991426,1.7668303662778801,
